1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
5,10,15,24,23,29,34,38,49,57,59,59,66,1064,1065,1022,1072,1082,1049,1100,1100,1091,1071,1120,1096,1127,1123,1229,1255,2090,1271,1265,1302,1299,1303,1263,2092,1308,1292,1305,1456,1644,2077,1675,1500,2260,1476,1471,2138,2091,2060,1338,1529,2337,1878,2087,2566,2072,2520,2287,2129,2330,1883,2346,1894,2130,2559,2119,2732,2614,2558,2607,2335,2530,1923,4190,2581,4202,3137,2123,2770,2316,4345,2305,7505,7501,4263,4249,2131,6312,4349,4384,2342,4354,7543,4385,7734,7746,8029,7582
2,4,7,10,12,15,16,19,26,30,28,28,31,53,36,42,51,43,74,51,56,54,82,58,63,58,63,66,99,70,75,77,76,106,90,89,89,92,96,93,94,104,100,103,110,134,117,117,118,118,144,123,133,156,156,136,136,174,169,149,147,159,169,175,153,159,164,162,187,189,183,227,196,169,181,207,214,215,217,215,259,220,217,194,197,215,207,243,231,239,213,213,214,249,241,221,220,255,246,231
0,0,0,1,1,2,2,3,3,3,3,4,4,5,9,5,7,8,7,5,7,8,8,9,8,9,8,15,9,9,11,13,9,12,12,12,13,10,14,13,13,13,14,16,14,13,16,15,15,15,16,16,18,19,16,18,18,23,25,22,20,24,21,19,20,22,19,23,19,25,22,27,24,25,20,23,24,26,30,24,27,25,25,33,26,27,27,28,24,29,27,27,28,32,28,34,31,30,28,28
0,0,0,1,1,3,2,3,3,3,3,5,4,5,5,15,5,5,7,9,7,7,7,7,9,8,7,10,10,9,10,9,19,12,19,11,13,13,13,12,13,12,12,13,17,14,15,16,18,15,20,17,19,19,19,17,21,20,19,18,25,18,21,21,20,21,21,24,22,25,27,27,25,28,26,26,29,24,25,23,30,25,28,27,29,27,34,25,28,27,29,32,34,29,33,32,31,31,28,34


2,4,7,8,11,15,15,21,32,37,26,28,30,34,46,41,42,42,45,48,48,50,51,59,58,80,60,68,68,67,74,74,77,81,110,121,88,115,97,116,96,131,97,127,113,107,110,113,148,117,122,147,126,131,140,154,139,134,142,178,144,151,147,148,190,184,157,162,166,158,167,200,183,193,191,178,181,187,185,188,190,193,192,217,216,222,234,203,212,204,224,241,241,230,214,266,245,227,248,259
0,0,1,1,1,1,1,2,2,2,3,4,3,4,3,5,4,4,4,4,4,4,5,5,6,5,7,7,18,7,6,10,11,8,10,10,12,9,11,11,11,11,12,9,10,13,13,9,14,10,16,15,17,11,13,12,17,16,18,17,18,15,13,17,14,18,15,22,17,20,21,15,17,19,22,23,22,17,20,21,23,20,27,21,23,19,26,24,21,28,23,26,28,24,28,24,26,30,25,29
0,0,1,1,1,2,2,2,3,4,3,12,3,4,4,5,4,5,5,5,5,7,6,6,12,7,7,8,6,8,10,8,6,8,9,9,9,9,13,10,10,12,11,12,10,8,13,13,11,14,14,18,18,17,18,15,14,21,17,18,17,17,17,19,19,16,18,20,16,21,21,24,22,23,16,20,21,24,22,23,31,22,25,21,24,25,23,24,28,25,25,21,24,28,25,24,17,30,21,18
4,10,14,20,23,31,33,38,48,58,54,72,64,1020,1022,1029,1026,1083,1087,1085,1090,1085,1067,1073,1091,1085,1234,1276,1276,1236,1292,1281,2076,1274,1279,1274,2125,1289,1276,1632,2290,1305,1478,1673,1674,1339,1474,1491,1480,2046,1477,2264,2102,2058,1707,1748,2056,2306,1645,2593,2598,2580,2114,2065,2630,2141,2590,2582,2597,2045,2563,2561,2515,2720,2605,2688,2310,2754,3415,4344,3326,4310,4219,3274,4329,7688,7693,4214,4251,7702,7537,5059,7687,4328,7482,2556,7727,2585,7685,7754
